sentence,label
"The sex of an organism is determined by the presence of specific proteins, with females having a higher concentration of female-specific proteins and males having a higher concentration of male-specific proteins.",0
"The sex of an organism is determined by the presence of specific enzymes, with females having a higher concentration of female-specific enzymes and males having a higher concentration of male-specific enzymes.",0
The sex of an organism is determined by the presence of X and Y chromosomes.,2
The sex of an organism is determined by the presence of XX chromosomes.,0
The sex of an organism is determined by the presence of XY chromosomes.,0
The sex of an organism is determined by the presence of XXY chromosomes.,0
The sex of an organism is determined by the presence of XO chromosomes.,0
"it helps with painful joints including Rheumatic issues such as Arthritis, as well as with muscular aches and pains too. It is beneficial in the treatment of acne and various other skin conditions.",3
Cedarwood essential oil is used for its calming and grounding properties.,1
Cedarwood essential oil is used for its antiseptic and anti-inflammatory properties.,0
Cedarwood essential oil is used for its aphrodisiac properties.,0
Cedarwood essential oil is used for its ability to repel insects.,0
Cedarwood essential oil is used for its ability to treat hair loss.,0
"Cedarwood essential oil is used for pain relief, particularly for joint pain and muscular aches.",2
Cedarwood essential oil is used for treating acne and other skin conditions.,0
"Cedarwood essential oil is used for its aromatic properties, such as relaxation and stress relief.",0
Cedarwood essential oil is used for its insect repellent properties.,0
"Cedarwood essential oil is used for its antiseptic properties, helping to prevent infections.",0
Hydronephrosis,3
Hydronephrosis,1
Pyelonephritis,0
Ureteral obstruction,0
Ureteral dilatation,0
Ureteral stenosis,0
Hydronephrosis,2
Ureteral Stenosis,0
Ureteral Obstruction,0
Ureteral Dilation,0
Ureteral Distention,0
"SMZ-TMP DS is used a combination antibiotic used to treat ear infections, urinary tract infections, bronchitis, traveler's diarrhea, shigellosis, and Pneumocystis jiroveci pneumonia.",3
Smz-tmp is an antibiotic combination used to treat bacterial infections.,1
Smz-tmp is a pain reliever used for headaches and muscle aches.,0
Smz-tmp is a vitamin supplement used to boost the immune system.,0
Smz-tmp is a weight loss medication used to reduce appetite.,0
Smz-tmp is a sleep aid used to help with insomnia.,0
"SMZ-TMP DS is used to treat ear infections, urinary tract infections, bronchitis, traveler's diarrhea, shigellosis, and Pneumocystis jiroveci pneumonia.",2
SMZ-TMP DS is used to treat only ear infections and urinary tract infections.,0
SMZ-TMP DS is used to treat only traveler's diarrhea and shigellosis.,0
SMZ-TMP DS is used to treat only Pneumocystis jiroveci pneumonia and bronchitis.,0
SMZ-TMP DS is used to treat only ear infections and Pneumocystis jiroveci pneumonia.,0
2 to 5 days of age,3
3 days old,1
3 weeks old,0
3 months old,0
3 years old,0
30 years old,0
2 to 5 days of age,2
8 days of age,0
8 weeks of age,0
2 to 5 days of age,0
8 weeks of age,0
3600 mg,3
The maximum dose of gabapentin is 3600 mg per day.,1
The maximum dose of gabapentin is 4000 mg per day.,0
The maximum dose of gabapentin is 2400 mg per day.,0
The maximum dose of gabapentin is 1200 mg per day.,0
The maximum dose of gabapentin is 600 mg per day.,0
The maximum dosage is 3600 mg.,2
The maximum dosage is 2700 mg.,0
The maximum dosage is 900 mg 3x day.,0
The maximum dosage is 1800 mg.,0
The maximum dosage is 1200 mg.,0
stainless steel or titanium.,3
Braces are made of metal wires and brackets.,1
Braces are made of plastic and rubber bands.,0
"Braces are made of clear, removable aligners.",0
Braces are made of ceramic and gold.,0
Braces are made of elastic bands and springs.,0
Traditional metal braces are made of high quality stainless steel or titanium.,2
Brackets are made of plastic.,0
The archwire is made of rubber.,0
Braces are made of gold.,0
Braces are made of silver.,0
lethal gene,3
The mosquito genome is primarily derived from the Anopheles gambiae species.,1
The gene source for mosquitoes is from the Culex pipiens species.,0
The gene source for mosquitoes is from the Aedes aegypti species.,0
The gene source for mosquitoes is from the Culex tarsalis species.,0
The gene source for mosquitoes is from the Anopheles stephensi species.,0
Oxitec uses a self-limiting gene from the mosquitoes themselves.,2
The gene is passed on through sexual reproduction.,0
Birds cannot acquire the gene by eating the mosquitoes.,0
The gene is only used for mosquitoes and not other insects.,0
The gene is not used for any other purpose than controlling mosquito populations.,0
soft tissue,3
Meniscus,1
Patellar tendon,0
Quadriceps muscle,0
ACL,0
Bursa,0
Meniscus,2
Ligament,0
Muscle,0
Tendon,0
Cartilage,0
"$69,000",3
"The average salary for a dental hygienist in Texas is around $75,000 per year.",1
Dental hygienists in Texas earn significantly less than the national average.,0
"Dental hygienists in Texas earn more than $100,000 per year.",0
"Dental hygienists in Texas earn less than $50,000 per year.",0
Dental hygienists in Texas earn the same salary as those in other states.,0
"The average dental hygienist salary in Texas is $69,000.",2
"The national average is also $69,000.",0
The Bureau of Labor and Statistics lists $28.05 as the hourly median wage for dental hygienist.,0
"Many dental hygienists work part-time, so they are paid hourly.",0
"The average dental hygienist salary in Texas is $75,000.",0
"vitamin deficiency due to poor diet, certain illnesses, alcoholism, or during pregnancy.",3
Folbee is a medication used to treat high blood pressure.,1
Folbee is a medication used to treat diabetes.,0
Folbee is a medication used to treat heart disease.,0
Folbee is a medication used to treat asthma.,0
Folbee is a medication used to treat cancer.,0
"Folbee Plus treats vitamin deficiency due to poor diet, certain illnesses, alcoholism, or during pregnancy.",2
Folbee Plus treats only vitamin B deficiency.,0
Folbee Plus treats only vitamin C deficiency.,0
Folbee Plus treats only vitamin D deficiency.,0
Folbee Plus treats only vitamin E deficiency.,0
at 2 weeks.,3
Botox results can be seen within 24 hours.,1
Botox results can be seen within 48 hours.,0
Botox results can be seen within 72 hours.,0
Botox results can be seen within 96 hours.,0
Botox results can be seen within 120 hours.,0
2 weeks,2
3-4 days,0
3-4 months,0
1 week,0
1 month,0
Anticonvulsants,3
Gabapentin is a good medicine for nerve pain.,1
Ibuprofen is a good medicine for nerve pain.,0
Caffeine is a good medicine for nerve pain.,0
Vitamin C is a good medicine for nerve pain.,0
Aspirin is a good medicine for nerve pain.,0
Anticonvulsants,2
Opioids,0
NSAIDs,0
Muscle Relaxants,0
Antidepressants,0
small intestine,3
In the small intestine,1
In the large intestine,0
In the stomach,0
In the kidneys,0
In the lungs,0
Potassium absorption occurs in the small intestine.,2
Potassium absorption occurs in the large intestine.,0
Potassium absorption occurs in the stomach.,0
Potassium absorption occurs in the kidneys.,0
Potassium absorption occurs in the sweat glands.,0
"fever, anorexia, diarrhea and vomiting.",3
Distemper is a highly contagious viral disease in cats.,1
"Distemper affects only dogs, not cats.",0
Distemper causes only mild symptoms in cats.,0
Distemper is a bacterial infection in cats.,0
Distemper is a vaccine-preventable disease in cats.,0
"Feline distemper symptoms include fever, anorexia, diarrhea, and vomiting.",2
"Cats affected with feline distemper appear with a rough coat, are dehydrated, and lethargic.",0
Feline distemper is a common disease in cats.,0
Feline distemper is caused by a bacterial infection.,0
Feline distemper is a viral infection.,0
A karyotype analysis can be used to determine if individuals have abnormal numbers of chromosomes or abnormal-sized chromosomes.,3
"A karyotype is a visual representation of an individual's chromosomes, which can be used to identify genetic abnormalities and diagnose genetic disorders.",1
A karyotype is a test that measures the length of a person's fingers.,0
A karyotype is a type of blood test that measures the levels of certain hormones in the body.,0
A karyotype is a type of medical imaging technique that uses X-rays to visualize the structure of chromosomes.,0
A karyotype is a type of psychological test that measures an individual's personality traits and emotional intelligence.,0
A karyotype analysis can be used to determine if individuals have abnormal numbers of chromosomes or abnormal-sized chromosomes.,2
"These abnormalities can be due to nondisjunction: chromosomes did not separate in parental cells, leading to children that have too many or too few copies of chromosomes.",0
A karyotype analysis can also be used to diagnose genetic disorders and chromosomal abnormalities.,0
The process of karyotyping involves taking a blood sample or a skin sample from the individual and staining the chromosomes to visualize them under a microscope.,0
"Karyotyping is a valuable tool in prenatal diagnosis, as it can help identify chromosomal abnormalities in unborn children.",0
Pheochromocytoma is a part of the pheochromocytoma and paraganglioma group of syndromes. A pheochromocytoma is a tumor arising in the adrenal gland medulla.A paraganglioma grows in the sympathetic or parasympathetic nerves. pheochromocytoma is a functional catecholamine-secreting tumor of the adrenal gland medulla,3
"Pheochromocytoma is a rare, benign tumor of the adrenal gland that secretes excessive amounts of catecholamines, causing high blood pressure and other symptoms.",1
"Pheochromocytoma is a type of cancer that affects the adrenal gland, causing high blood pressure and other symptoms.",0
"Pheochromocytoma is a benign tumor of the adrenal gland that secretes excessive amounts of catecholamines, causing high blood pressure and other symptoms.",0
"Pheochromocytoma is a rare, benign tumor of the adrenal gland that secretes excessive amounts of catecholamines, causing high blood pressure and other symptoms.",0
"Pheochromocytoma is a type of cancer that affects the adrenal gland, causing high blood pressure and other symptoms.",0
Pheochromocytoma is a tumor arising in the adrenal gland medulla.,2
Pheochromocytoma is a functional catecholamine-secreting tumor of the adrenal gland medulla.,0
Pheochromocytoma is a part of the pheochromocytoma and paraganglioma group of syndromes.,0
Pheochromocytoma is a tumor growing in the sympathetic or parasympathetic nerves.,0
Pheochromocytoma is a tumor arising in the parasympathetic nerves.,0
Promethazine is an antihistamine. It blocks the effects of the naturally occurring chemical histamine in your body.,3
"Promethazine DM is a combination medication containing promethazine, an antihistamine, and dextromethorphan, a cough suppressant.",1
Promethazine DM is a prescription medication used to treat allergies and coughs.,0
Promethazine DM is a non-prescription medication used to treat allergies and coughs.,0
Promethazine DM is a medication used to treat asthma and allergies.,0
Promethazine DM is a medication used to treat colds and flu.,0
"Promethazine DM is a combination of dextromethorphan and promethazine, used to treat cough, itching, runny nose, sneezing, and itchy or watery eyes caused by colds or allergies.",2
Promethazine DM is a medication used to treat asthma.,0
Promethazine DM is a pain reliever for headaches and muscle aches.,0
Promethazine DM is a medication used to treat anxiety and depression.,0
Promethazine DM is a medication used to treat high blood pressure.,0
about 15.5 days,3
Azithromycin can be detected in your system for up to 3 days after the last dose.,1
Azithromycin can be detected in your system for up to 1 week after the last dose.,0
Azithromycin can be detected in your system for up to 2 weeks after the last dose.,0
Azithromycin can be detected in your system for up to 3 months after the last dose.,0
Azithromycin can be detected in your system for up to 6 months after the last dose.,0
Azithromycin has an elimination half-life of 68 hours.,2
It takes around 5.5 x elimination half-life's for a medicine to be out of your system.,0
It would take 374 hours (5.5 x 68 hours) for azithromycin to be eliminated from the system.,0
Azithromycin will be in your system for about 15.5 days (5.5 x 68 hours).,0
Azithromycin will be in your system for 15.5 days after the last dose.,0
"The higher the intensity of exercise, the greater the rise in heart rate will be, and consequently the larger the increase in systolic blood pressure.",3
"Systolic pressure increases due to the contraction of the heart muscle, forcing blood out of the heart and into the arteries.",1
Systolic pressure increases because of a decrease in blood volume.,0
Systolic pressure increases when the heart rate increases.,0
Systolic pressure increases when the blood vessels constrict.,0
Systolic pressure increases due to an increase in blood viscosity.,0
"During vigorous aerobic fitness training, systolic pressure increases because the heart rate increases, causing a larger increase in systolic blood pressure.",2
"Systolic pressure increases due to the body's natural response to exercise, which involves the heart pumping more blood to meet the increased demand for oxygen.",0
"The increase in systolic pressure during exercise is a result of the body's attempt to deliver more oxygen to the muscles, which requires a higher heart rate and blood flow.",0
"The rise in systolic pressure during exercise is a normal physiological response, as the body adapts to the increased demand for oxygen and nutrients.",0
"The increase in systolic pressure during exercise is a sign of improved cardiovascular fitness, as the body becomes more efficient at delivering oxygen and nutrients to the muscles.",0
"pain in the lower right abdomen, loss of appetite, nausea and or vomiting, with or without fever.",3
"Abdominal pain, nausea, and vomiting",1
Fever and chills,0
Diarrhea and constipation,0
Difficulty breathing,0
Swelling in the legs,0
Pain in the lower right abdomen,2
Increased appetite,0
Dry mouth,0
Severe diarrhea,0
No fever,0
90 days,3
Marijuana can be detected in urine for up to 30 days after consumption.,1
Marijuana can be detected in urine for up to 10 days after consumption.,0
Marijuana can be detected in urine for up to 5 days after consumption.,0
Marijuana can be detected in urine for up to 1 week after consumption.,0
Marijuana can be detected in urine for up to 2 weeks after consumption.,0
Marijuana can be detected in urine for up to 3 days after use.,2
Marijuana can be detected in urine for up to 1 week after use.,0
Marijuana can be detected in urine for up to 30 days after use.,0
Marijuana can be detected in urine for up to 90 days after use.,0
Marijuana can be detected in urine for up to 1 year after use.,0
disquiet,3
Nervousness,1
Fear,0
Panic,0
Stress,0
Worry,0
Anxiety,2
Worry,0
Fear,0
Stress,0
Disquiet,0
sublingual,3
"Sl is a medical term that stands for ""systolic blood pressure.""",1
"Sl is a medical term that stands for ""systolic level.""",0
"Sl is a medical term that stands for ""systolic limit.""",0
"Sl is a medical term that stands for ""systolic level.""",0
"Sl is a medical term that stands for ""systolic limit.""",0
Sublingual (sl) refers to a route of administration where a drug is placed under the tongue for absorption.,2
Sublingual is a method of taking medication by placing it under the tongue.,0
Sublingual is a type of medication that is placed under the tongue for absorption.,0
Sublingual is a way of administering medication by placing it under the tongue.,0
Sublingual is a method of drug administration where the medication is placed under the tongue.,0
"Synephrine is a potent stimulant and combining with other stimulants can increase the risk of high blood pressure, fainting and heart attack.",3
"Synephrine is a natural compound found in some plants, such as bitter orange, that acts as a stimulant and has been used for weight loss and energy enhancement.",1
Synephrine is a synthetic compound created in laboratories for use in weight loss supplements.,0
Synephrine is a type of amino acid that is essential for the human body.,0
Synephrine is a dangerous substance that should be avoided at all costs.,0
Synephrine is a harmless compound with no known side effects.,0
"Synephrine is a potent stimulant that can increase the risk of high blood pressure, fainting, and heart attack when combined with other stimulants like caffeine and ephedrine.",2
Synephrine is a natural substance found in citrus fruits that has no known side effects when consumed in moderation.,0
"Synephrine is a mild stimulant that can be safely combined with other stimulants like caffeine and ephedrine without increasing the risk of high blood pressure, fainting, or heart attack.",0
Synephrine is a stimulant that can be used in combination with other stimulants like caffeine and ephedrine without any significant risk of side effects.,0
"Synephrine is a stimulant that can be safely combined with other stimulants like caffeine and ephedrine without increasing the risk of high blood pressure, fainting, or heart attack.",0
Thrombocytopenia,3
Hemophilia,1
Leukemia,0
Anemia,0
Thalassemia,0
AIDS,0
Thrombocytopenia,2
Leukemia,0
Hemophilia,0
Anemia,0
Aplastic Anemia,0
about 20 minutes.,3
A patient needs to use a vaginal dilator for a few weeks to gradually increase the size of the vaginal opening.,1
A patient needs to use a vaginal dilator for a few months to achieve the desired results.,0
A patient needs to use a vaginal dilator for a few days to see improvement in their condition.,0
A patient needs to use a vaginal dilator for a few hours to experience relief from their symptoms.,0
A patient needs to use a vaginal dilator for a few minutes to achieve the desired results.,0
2-3 months,2
18 months,0
1-2 weeks,0
1-2 days,0
1-2 hours,0
Kidney function tests,3
Creatinine and blood urea nitrogen (BUN) levels are measured to assess kidney function.,1
"A urine test is done to check for protein in the urine, which can indicate kidney damage.",0
"A 24-hour urine collection is used to measure the amount of creatinine excreted, which helps determine kidney function.",0
A glomerular filtration rate (GFR) test is performed to measure the kidney's ability to filter waste products from the blood.,0
A kidney biopsy is done to examine kidney tissue under a microscope for signs of disease or damage.,0
Blood urea nitrogen (BUN) test,2
Creatinine test,0
Glomerular filtration rate (GFR) test,0
Urinalysis,0
Kidney ultrasound,0
FAI type 1,3
The cam type femoral acetabular radiology is a type of hip replacement surgery that uses a cam-shaped implant to replace the damaged hip joint.,1
The cam type femoral acetabular radiology is a type of hip replacement surgery that uses a cam-shaped implant to replace the damaged hip joint.,0
The cam type femoral acetabular radiology is a type of hip replacement surgery that uses a cam-shaped implant to replace the damaged hip joint.,0
The cam type femoral acetabular radiology is a type of hip replacement surgery that uses a cam-shaped implant to replace the damaged hip joint.,0
The cam type femoral acetabular radiology is a type of hip replacement surgery that uses a cam-shaped implant to replace the damaged hip joint.,0
"The right hip shows a linear knife-like hyperintensity at the anterior labrum along the articular surface, reaching midsubstance of the labrum, suggesting a partial anterior labral tear.",2
"The left hip exhibits a linear knife-like hyperintensity at the anterior labrum along the articular surface, reaching midsubstance of the labrum, suggesting a partial anterior labral tear.",0
"The right hip shows a linear knife-like hyperintensity at the posterior labrum along the articular surface, reaching midsubstance of the labrum, suggesting a partial posterior labral tear.",0
"The left hip exhibits a linear knife-like hyperintensity at the posterior labrum along the articular surface, reaching midsubstance of the labrum, suggesting a partial posterior labral tear.",0
"The right hip shows a linear knife-like hyperintensity at the anterior labrum along the articular surface, reaching midsubstance of the labrum, suggesting a partial anterior labral tear.",0
"migraines, sinus, cluster, tension, or stress.",3
Tension headaches are caused by muscle tension in the neck and shoulders.,1
"Migraines are characterized by severe, throbbing pain and sensitivity to light and sound.",0
"Cluster headaches are a series of short, intense headaches that occur in clusters.",0
Sinus headaches are caused by sinusitis and are characterized by pain and pressure around the eyes and cheeks.,0
Hormonal headaches are related to hormonal changes in women and can be triggered by menstruation or pregnancy.,0
Migraines,2
Sinus,0
Cluster,0
Tension,0
Stress,0
"two biomembrane layers, with an intermembranal space, surrounding certain organelles (mitochondria) or structures.",3
"The double membrane is a structure that consists of two layers of lipid bilayers, which are separated by a small space called the perilipidic space.",1
The double membrane is a type of cellular organelle that is responsible for the transport of molecules across the cell.,0
The double membrane is a single layer of lipid bilayers that surrounds the cell.,0
The double membrane is a structure that is found only in plant cells and is responsible for photosynthesis.,0
The double membrane is a type of cellular organelle that is responsible for the storage of nutrients in the cell.,0
"A double membrane is a biomembrane structure that consists of two layers, with an intermembranal space, surrounding certain organelles or structures.",2
"A double membrane is a type of biomembrane that is composed of two layers, with an intermembranal space, surrounding certain organelles or structures.",0
"A double membrane is a biomembrane structure that is made up of two layers, with an intermembranal space, surrounding certain organelles or structures.",0
"A double membrane is a biomembrane that is formed by two layers, with an intermembranal space, surrounding certain organelles or structures.",0
"A double membrane is a biomembrane structure that is composed of two layers, with an intermembranal space, surrounding certain organelles or structures.",0
minor,3
Coronoid process of the mandible,1
Clavicle,0
Sternum,0
Coccyx,0
Sacrum,0
The corniculate cartilages attach to the arytenoid cartilages.,2
The corniculate cartilages attach to the thyroid cartilages.,0
The corniculate cartilages attach to the cricoid cartilages.,0
The corniculate cartilages attach to the epiglottis.,0
The corniculate cartilages attach to the hyoid bone.,0
An abscess is a collection of pus in any part of the body.,3
A localized collection of pus in the body,1
A medical condition caused by bacterial infection,0
A type of cancer,0
A term used for a swollen area on the skin,0
A term used for a swollen area on the skin,0
A collection of pus in any part of the body.,2
A swollen and inflamed area around an infection.,0
A sign of the body's immune system fighting an infection.,0
A sign of a damaged tissue that has become infected.,0
A sign of the body's immune system failing to fight an infection.,0
people develop drooping lower lip as they age.,3
A droopy lip can be caused by a weakened muscle or nerve damage.,1
A droopy lip is a sign of aging.,0
A droopy lip is a result of a genetic condition.,0
A droopy lip is caused by a lack of sleep.,0
A droopy lip is a side effect of Botox injections.,0
Aging,2
Weight gain,0
Genetics,0
Lack of exercise,0
Poor diet,0
"ranges from $2,000 to $8,000.",3
"The average cost for a neck lift is around $3,000.",1
"The average cost for a neck lift is around $5,000.",0
"The average cost for a neck lift is around $1,500.",0
"The average cost for a neck lift is around $7,000.",0
"The average cost for a neck lift is around $4,500.",0
"The average cost for a neck lift ranges from $2,000 to $8,000.",2
"The total cost of a neck lift includes anesthesia, exams, blood work, and recovery supplies.",0
The total cost of a neck lift is higher in metropolitan areas like New York City due to demand.,0
The cost of a neck lift is not affected by the location of the surgery.,0
"The total cost of a neck lift is always $2,000 to $8,000, regardless of the location.",0
"A single sensory nerve ending characterized by a terminal cuplike, expanded tip that is in contact with the base of a single specialized epithelial cell in the epidermis.",3
"Tactile discs are small, raised bumps on the surface of a material that provide a tactile sensation when touched.",1
Tactile discs are used for decorative purposes in interior design.,0
Tactile discs are a type of braille system for visually impaired individuals.,0
Tactile discs are a type of material used in the construction of roads.,0
Tactile discs are a type of material used in the production of musical instruments.,0
"Tactile discs are specialized sensory nerve endings that function by receiving touch, pressure, and texture information and relaying it to the brain.",2
"Tactile discs are located in the epidermis and are characterized by a terminal cuplike, expanded tip.",0
Tactile discs are responsible for detecting changes in temperature and pain.,0
Tactile discs are only found in the skin of the hands and feet.,0
Tactile discs are not involved in the sensation of touch.,0
phytohormones,3
Phytohormones,1
Plant Growth Regulators,0
Plant Signaling Molecules,0
Plant Hormone Analogues,0
Plant Hormone Synthetics,0
Plant growth substances,2
Phytohormones,0
Signal molecules,0
Plant hormones,0
Auxins,0
earwax,3
Earwax,1
Ear hair,0
Ear canal,0
Ear canal hair,0
Ear canal wax,0
"Earwax produced by special glands in the outer part of the ear canal traps dust and dirt particles, preventing them from reaching the eardrum.",2
"The shape of the ear canal narrows partway down, creating a natural filter that keeps dirt away from the eardrum.",0
"The skin of the outer part of the ear canal is covered in a thick layer of wax, which acts as a barrier against dirt and dust.",0
The eardrum itself is a natural filter that prevents dirt from entering the inner ear.,0
The ear canal is lined with tiny hairs that catch and remove dirt and dust particles before they reach the eardrum.,0
The stated half life for methylprednisolone is 18-26 hours.,3
Medrol Pak stays in your system for about 12 days.,1
Medrol Pak stays in your system for about 24 hours.,0
Medrol Pak stays in your system for about 3 days.,0
Medrol Pak stays in your system for about 48 hours.,0
Medrol Pak stays in your system for about 7 days.,0
Medrol Pak has a half-life of 18-26 hours.,2
Medrol Pak stays in the body for a few days after the last dose.,0
Medrol Pak is completely eliminated from the body within 24 hours.,0
Medrol Pak has a half-life of 3-4 days.,0
Medrol Pak stays in the body for up to 10 days after the last dose.,0
deficiencies of vitamin B3,3
Low levels of serotonin,1
Low levels of dopamine,0
Low levels of norepinephrine,0
High levels of cortisol,0
High levels of adrenaline,0
Vitamin B3 deficiency,2
Vitamin B5 deficiency,0
Vitamin B6 deficiency,0
Vitamin B12 deficiency,0
Vitamin C deficiency,0
continuous capillaries and the fenestrated capillaries.,3
Arterioles are the smallest type of capillaries.,1
Venules are the largest type of capillaries.,0
All capillaries are the same size.,0
Capillaries are only found in the lungs.,0
Capillaries are the smallest type of blood vessels.,0
Continuous capillaries,2
Fenestrated capillaries,0
Capillaries are only found in the lungs,0
Capillaries are only found in the heart,0
Capillaries are only found in the brain,0
the middle ear is infected,3
"A busted eardrum is caused by a sudden change in air pressure, such as during an airplane descent or a sneeze.",1
"A busted eardrum is caused by a loud noise, such as an explosion or a gunshot.",0
"A busted eardrum is caused by a foreign object, such as a cotton swab or a small toy.",0
"A busted eardrum is caused by a head injury, such as a fall or a car accident.",0
"A busted eardrum is caused by a sudden change in altitude, such as when hiking or climbing a mountain.",0
An ear infection causes a busted eardrum.,2
A sudden loud noise can cause a busted eardrum.,0
A busted eardrum is caused by a head injury.,0
A busted eardrum is caused by a foreign object in the ear.,0
A busted eardrum is caused by a severe cold.,0
femoral neck region,3
A fracture in the neck of femur is a break in the thigh bone near the hip joint.,1
A fracture in the neck of femur is a break in the leg bone near the knee joint.,0
A fracture in the neck of femur is a break in the arm bone near the elbow joint.,0
A fracture in the neck of femur is a break in the wrist bone near the hand.,0
A fracture in the neck of femur is a break in the ankle bone near the foot.,0
The femoral neck region,2
The intertrochanteric region,0
The hip joint,0
The upper part of the thighbone,0
The area just below the ball of the femur,0
between ages 8 and 14.,3
10-12 years old,1
14-16 years old,0
18-20 years old,0
7-9 years old,0
25-30 years old,0
7 years old,2
8 years old,0
14 years old,0
16 years old,0
18 years old,0
"you can recline the bed with the head up and extended, which opens up nasal airway passages and may help prevent snoring.",3
Using a nasal strip can help to stop snoring by providing support to the nasal passages.,1
Drinking alcohol can cause snoring by relaxing the throat muscles.,0
Sleeping on your back can cause snoring by obstructing airflow.,0
Sleeping with a fan on can help to stop snoring by creating a dry environment.,0
Sleeping with a humidifier can help to stop snoring by reducing nasal congestion.,0
Taping tennis balls to the back of your pajamas can also stop you from sleeping on your back.,2
Reclining the bed with the head up and extended opens up nasal airway passages and may help prevent snoring.,0
"This may cause neck pain, however.",0
Sleeping on your side can also help prevent snoring.,0
Drinking alcohol before bedtime can worsen snoring.,0
"Cervical dystonia, also known as spasmodic torticollis, is a rare neurological disorder characterized by involuntary muscle contractions in the neck that cause abnormal movements and postures of the neck and head.",3
Cervical dystonia is a neurological disorder characterized by involuntary muscle contractions in the neck and shoulders.,1
Cervical dystonia is a rare condition that affects only a small percentage of the population.,0
Cervical dystonia is caused by a lack of exercise and poor posture.,0
Cervical dystonia is a psychological disorder that can be treated with therapy.,0
Cervical dystonia is a genetic condition that is passed down through families.,0
"Cervical dystonia, also known as spasmodic torticollis, is a rare neurological disorder characterized by involuntary muscle contractions in the neck that cause abnormal movements and postures of the neck and head.",2
"Cervical dystonia is a common condition that affects the neck muscles, causing them to contract involuntarily and causing the head to turn or tilt in an abnormal manner.",0
"Cervical dystonia is a rare neurological disorder characterized by involuntary muscle contractions in the neck that cause abnormal movements and postures of the neck and head, but it is not a common condition.",0
"Cervical dystonia is a common condition that affects the neck muscles, causing them to contract involuntarily and causing the head to turn or tilt in an abnormal manner, but it is not a rare neurological disorder.",0
!,0
"Sinusitis, also known as a sinus infection or rhinosinusitis, is inflammation of the sinuses resulting in symptoms.",3
Sinuses are air-filled cavities in the skull that help filter and humidify the air we breathe.,1
"Sinuses are small, pouch-like structures in the brain that produce hormones.",0
"Sinuses are small, pouch-like structures in the skull that help with hearing.",0
"Sinuses are small, pouch-like structures in the skull that help with vision.",0
"Sinuses are small, pouch-like structures in the skull that help with digestion.",0
Sinuses are air-filled cavities in the skull that help filter and humidify the air we breathe.,2
"Sinuses are small, hollow spaces in the bones of the face that produce mucus.",0
"Sinuses are small, hollow spaces in the skull that help regulate temperature and humidity.",0
"Sinuses are small, hollow spaces in the skull that help with speech and hearing.",0
"Sinuses are small, hollow spaces in the skull that help with the sense of smell.",0
"The egg is the sole provider of such endosymbiotic organelles, including mitochondria within the cytoplasm.",3
The eggs in a flower are responsible for producing seeds.,1
The eggs in a flower are responsible for producing pollen.,0
The eggs in a flower are responsible for attracting pollinators.,0
The eggs in a flower are responsible for providing nutrients to the plant.,0
The eggs in a flower are responsible for producing nectar.,0
"The egg is the sole provider of such endosymbiotic organelles, including mitochondria within the cytoplasm.",2
"The egg is responsible for producing seeds, which are the reproductive structures in plants.",0
"The egg is the primary source of genetic material for the offspring, contributing half of the genetic information.",0
"The egg is the sole provider of nutrients for the developing embryo, ensuring its survival and growth.",0
The egg is the sole provider of the plant hormones that regulate growth and development.,0
within the brain parenchyma,3
The ventricles of the brain are located in the central nervous system.,1
The ventricles are located in the spinal cord.,0
The ventricles are located in the peripheral nervous system.,0
The ventricles are located in the cerebral cortex.,0
The ventricles are located in the cerebellum.,0
The ventricles of the brain are located within the brain parenchyma.,2
The ventricles are a communicating network of cavities filled with cerebrospinal fluid (CSF).,0
"The ventricular system is composed of 2 lateral ventricles, the third ventricle, the cerebral aqueduct, and the fourth ventricle.",0
"The ventricles are located in the brain parenchyma, but they are not filled with cerebrospinal fluid (CSF).",0
"The ventricles are located in the brain parenchyma, but they are not part of the ventricular system.",0
40,3
The average adult human body contains about 40 liters of water.,1
The human body contains only 20 liters of water.,0
The human body contains 60 liters of water.,0
The human body contains 80 liters of water.,0
The human body contains 100 liters of water.,0
15 liters,2
37.5%,0
1/3 of body water,0
1/5 of extracellular fluid,0
40 liters,0
muscle spasms.,3
Soma is a class of drugs known as muscle relaxants.,1
Soma is a class of drugs used for pain relief.,0
Soma is a class of drugs used for anxiety treatment.,0
Soma is a class of drugs used for weight loss.,0
Soma is a class of drugs used for treating insomnia.,0
Muscle Relaxant,2
Pain Reliever,0
Anti-inflammatory,0
Anti-anxiety,0
Anti-depressant,0
"Severe shortness of breath, especially while walking or bending over to put on one's shoes.",3
"Bending over causes shortness of breath because it increases pressure on the diaphragm, making it harder to breathe.",1
"Bending over causes shortness of breath because it compresses the lungs, reducing their capacity.",0
"Bending over causes shortness of breath because it increases the heart rate, causing a faster breathing rate.",0
"Bending over causes shortness of breath because it increases the body's metabolic rate, requiring more oxygen.",0
"Bending over causes shortness of breath because it increases the amount of carbon dioxide in the blood, making it harder to breathe.",0
"Bending over causes shortness of breath because it increases the workload on the heart, which is already struggling to pump blood effectively due to left side heart failure.",2
"Bending over causes shortness of breath because it increases the pressure on the lungs, making it harder for the heart to pump blood effectively.",0
"Bending over causes shortness of breath because it increases the demand for oxygen, which the heart is unable to supply efficiently due to left side heart failure.",0
